Date,Name,Year,Letterboxd URI
2025-01-05,Sing Sing,2023,https://boxd.it/HIBA
2025-01-07,Conclave,2024,https://boxd.it/AO8q
2025-01-15,A Real Pain,2024,https://boxd.it/CjNG
2025-01-17,Arrival,2016,https://boxd.it/aNGk
2025-03-09,Brokeback Mountain,2005,https://boxd.it/2b2q
2025-04-07,The Encampments,2025,https://boxd.it/SuEC
2025-04-10,I'm Still Here,2024,https://boxd.it/BPEO
2025-04-21,The Sound of Music,1965,https://boxd.it/1MLK
2025-05-09,From Ground Zero,2024,https://boxd.it/OBP0
2025-05-28,Andor: A Disney+ Day Special Look,2022,https://boxd.it/CDne
2025-06-28,Mickey 17,2025,https://boxd.it/q1Dk
2025-07-08,Okja,2017,https://boxd.it/dvXe
2025-07-19,Superman,2025,https://boxd.it/E9IU
2025-07-26,La La Land,2016,https://boxd.it/a5fa
2025-08-12,Little Miss Sunshine,2006,https://boxd.it/29EW
2025-09-15,Enchanted,2007,https://boxd.it/24co
2025-10-12,Sound of Falling,2025,https://boxd.it/Km9K
2025-10-14,The Chronology of Water,2025,https://boxd.it/j3pq
2025-11-08,Sentimental Value,2025,https://boxd.it/GwcG
2025-11-18,Brave,2012,https://boxd.it/bVG
2025-11-29,Frozen,2013,https://boxd.it/3GNa
2025-12-06,Hal & Harper,2025,https://boxd.it/SQRe
