Date,Name,Year,Letterboxd URI,Rating
2021-12-25,Hocus Pocus,1993,https://boxd.it/1Wgi,4
2021-12-29,Enchanted,2007,https://boxd.it/24co,4
2021-12-30,Don't Look Up,2021,https://boxd.it/o0Hc,2.5
2022-01-03,The Lost Daughter,2021,https://boxd.it/kgww,4
2022-01-03,Beautiful Boy,2018,https://boxd.it/g76Q,4
2022-01-09,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,5
2022-01-12,Coraline,2009,https://boxd.it/1NhQ,5
2022-01-23,Fresh,2022,https://boxd.it/tCNi,3.5
2022-01-28,The Fallout,2021,https://boxd.it/tViI,4.5
2022-02-03,Summerland,2020,https://boxd.it/j1S6,5
2022-02-07,Vita & Virginia,2018,https://boxd.it/fUIW,3.5
2022-02-11,Petite Maman,2021,https://boxd.it/s6je,5
2022-02-13,Help,2021,https://boxd.it/vaiU,4.5
2022-02-15,Kimi,2022,https://boxd.it/u7LW,3
2022-02-22,Interstellar,2014,https://boxd.it/4VZ8,3
2022-02-22,Parallel Mothers,2021,https://boxd.it/sOP4,3.5
2022-02-25,Free Guy,2021,https://boxd.it/k8dm,4
2022-02-26,Novitiate,2017,https://boxd.it/ewpa,4
2022-03-01,A Simple Favor,2018,https://boxd.it/hq92,3.5
2022-03-09,A Good Person,2023,https://boxd.it/u8sw,1.5
2022-03-12,Turning Red,2022,https://boxd.it/ipkq,4
2022-03-15,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,5
2022-03-26,The Florida Project,2017,https://boxd.it/dMG0,5
2022-03-31,Making an American Citizen,1912,https://boxd.it/4U6c,0.5
2022-03-31,The Immigrant,1917,https://boxd.it/Kcm,3
2022-03-31,Where Are My Children?,1916,https://boxd.it/4HnE,2
2022-04-05,Body and Soul,1925,https://boxd.it/35oC,3.5
2022-04-07,Sunrise: A Song of Two Humans,1927,https://boxd.it/29Xk,3
2022-04-12,Singin' in the Rain,1952,https://boxd.it/29oY,4
2022-04-14,Baby Face,1933,https://boxd.it/1rMs,3.5
2022-04-19,My Man Godfrey,1936,https://boxd.it/1PTC,3.5
2022-04-20,The Northman,2022,https://boxd.it/nK2s,4
2022-04-21,Mr. Smith Goes to Washington,1939,https://boxd.it/25Ms,3
2022-04-26,Black Is… Black Ain’t,1994,https://boxd.it/2FZ8,4.5
2022-05-01,Crush,2022,https://boxd.it/wuHW,3
2022-05-05,Sunset Boulevard,1950,https://boxd.it/2a20,4
2022-05-09,Vigil,2021,https://boxd.it/x3lc,4
2022-05-11,Disclosure,2020,https://boxd.it/oijM,5
2022-05-12,Carmen Jones,1954,https://boxd.it/Cho,2.5
2022-05-15,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-05-16,Paris Is Burning,1990,https://boxd.it/1jzg,5
2022-05-27,The Celluloid Closet,1995,https://boxd.it/1gWw,4
2022-05-28,Ex Machina,2015,https://boxd.it/7T2k,4
2022-05-28,Moonlight,2016,https://boxd.it/d6bE,4
2022-06-01,Desert Hearts,1985,https://boxd.it/2aFc,4.5
2022-06-03,After Yang,2021,https://boxd.it/lx5a,4
2022-06-04,Snapshots,2018,https://boxd.it/imbg,3
2022-06-05,Gunpowder Milkshake,2021,https://boxd.it/l5fQ,2.5
2022-06-21,Under the Banner of Heaven,2022,https://boxd.it/zMlA,4
2022-06-24,Athlete A,2020,https://boxd.it/pxY8,4
2022-06-26,Missing Home,2022,https://boxd.it/y8tW,4.5
2022-07-07,Thor: Love and Thunder,2022,https://boxd.it/mMAY,3.5
2022-07-08,Black Swan,2010,https://boxd.it/Sw0,4.5
2022-07-09,D.E.B.S.,2004,https://boxd.it/2aaS,4
2022-07-09,Badhaai Do,2022,https://boxd.it/sl1E,4.5
2022-07-17,Annihilation,2018,https://boxd.it/9yzm,4
2022-07-21,Disney's FastPass: A Complicated History,2021,https://boxd.it/EnIY,5
2022-07-21,Sacred,2009,https://boxd.it/7HbO,3.5
2022-07-25,You Can Live Forever,2022,https://boxd.it/xvlk,4.5
2022-08-04,"Before, Now & Then",2022,https://boxd.it/wufy,4.5
2022-08-08,The Queen of Black Magic,2019,https://boxd.it/lKHm,2
2022-08-13,Satan's Slaves 2: Communion,2022,https://boxd.it/ySaQ,3
2022-09-06,Pariah,2011,https://boxd.it/2wWk,4
2022-09-19,Fight Club,1999,https://boxd.it/2a9q,3.5
2022-09-21,Do Revenge,2022,https://boxd.it/sFiA,3.5
2022-10-01,Hocus Pocus 2,2022,https://boxd.it/nRog,4
2022-10-02,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,4
2022-10-06,Get Out,2017,https://boxd.it/eOCm,5
2022-10-07,TÁR,2022,https://boxd.it/uNIA,4
2022-10-10,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2022-10-16,Black Mirror: White Christmas,2014,https://boxd.it/B3qu,4
2022-10-18,mother!,2017,https://boxd.it/dgRU,2.5
2022-10-22,Aftersun,2022,https://boxd.it/Arw0,5
2022-10-28,Barbarian,2022,https://boxd.it/yohi,3.5
2022-11-26,Your Name.,2016,https://boxd.it/cUqs,3.5
2022-12-01,Les Misérables,2012,https://boxd.it/2TT4,3.5
2022-12-03,Reds,1981,https://boxd.it/1Hhq,4
2022-12-18,The Visit,2015,https://boxd.it/9ssO,1.5
2022-12-23,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,4
2022-12-26,Roald Dahl's Matilda the Musical,2022,https://boxd.it/oToE,3.5
2022-12-26,Check the Store Next Door 2,2022,https://boxd.it/DB6M,3.5
2022-12-30,But I’m Letting Go,2022,https://boxd.it/CegM,3.5
2023-01-01,Paddington 2,2017,https://boxd.it/bCF8,4
2023-01-01,YES DAY,2021,https://boxd.it/nHgc,2.5
2023-01-01,Perfect Blue,1997,https://boxd.it/1W7A,5
2023-01-02,Cemara's Family 2,2022,https://boxd.it/tjZE,3.5
2023-01-05,See How They Run,2022,https://boxd.it/sNVq,4
2023-01-05,Nope,2022,https://boxd.it/sDCe,5
2023-01-06,Where the Crawdads Sing,2022,https://boxd.it/psLS,1
2023-01-06,Stealing Raden Saleh,2022,https://boxd.it/voXi,3.5
2023-01-09,M3GAN,2022,https://boxd.it/jxmG,3
2023-01-16,The Menu,2022,https://boxd.it/lScm,4
2023-02-13,Dear David,2023,https://boxd.it/E5Me,3
2023-02-14,A Place of Rage,1991,https://boxd.it/irLo,4.5
2023-03-03,Saving Face,2004,https://boxd.it/1Fj0,5
2023-03-30,The Hunger Games,2012,https://boxd.it/2uds,2.5
2023-04-24,Billy Elliot,2000,https://boxd.it/2bdy,4
2023-04-24,Pride,2014,https://boxd.it/6TwM,4.5
2023-06-29,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/kiYC,4
2023-07-04,Past Lives,2023,https://boxd.it/oNB8,3.5
2023-07-04,Black Mirror: Joan Is Awful,2023,https://boxd.it/GWmi,3.5
2023-07-04,Black Mirror: Loch Henry,2023,https://boxd.it/H7Pg,4.5
2023-07-04,Black Mirror: Beyond the Sea,2023,https://boxd.it/H7QI,4
